transition,term,abs_a,abs_b,pmio_a,pmio_b,pmio_diff,g2,direction,rank_aufsteiger,rank_absteiger
1929→1930,alteingesessen,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,angegeben,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,beschäftigter,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,monarchie,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,volksbeauftragter,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,wohlweislich,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,abgehen,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,musikinstrument,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,gegnerisch,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,fellmann,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,hemmen,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,amtsführung,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,seinerseits,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,erteilung,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,irre,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,prinzessin,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,entstellung,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,brauch,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,nachdrücklichst,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,wohnungszwangswirtschaft,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,fortführung,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,patentmatratz,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,schlager,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,angehend,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,sanierung,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,zürich,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,ernennung,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,spekulieren,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,trüb,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,vierzig,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,prälat,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,riskieren,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,transport,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,individuell,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,zitat,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,zurückstellen,1,8,8.1,30.05,21.95,-2.1167,Aufsteiger,2621,7889
1929→1930,strafanzeige,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,erfolgt,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,parlamentarier,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,spekulation,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,gerissen,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,justus,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,nachprüfen,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,bursch,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,rückkehr,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,übernahme,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,diener,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,abraham,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,staatsgerichtshof,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,koks,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,zusammenarbeit,3,15,24.29,56.34,32.05,-2.1076,Aufsteiger,2697,7874
1929→1930,stunde,49,134,396.77,503.31,106.54,-2.1033,Aufsteiger,2712,7873
1929→1930,teilzahlung,7,27,56.68,101.41,44.73,-2.0931,Aufsteiger,2713,7870
1929→1930,nachdenken,7,27,56.68,101.41,44.73,-2.0931,Aufsteiger,2713,7870
1929→1930,beraten,7,27,56.68,101.41,44.73,-2.0931,Aufsteiger,2713,7870
1929→1930,darstellen,22,67,178.14,251.65,73.51,-2.089,Aufsteiger,2716,7869
