Dokument,Gruppe,Dominantes_Thema,Themenanteil,Thema_1,Thema_2,Thema_3,Thema_4,Thema_5,Thema_6,Thema_7,Thema_8
OCR 29. Ausgabe Stadtwächter_001-1.txt,documents-export-2026-02-23 (1),6,0.46359991210039786,0.0001472325856306274,0.0001475129660731147,0.00014741510527711173,0.00014723258563992166,0.00014723258562482504,0.46359991210039786,0.16784981813833824,0.36781364393301835
OCR 3. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.5402242830468952,0.00010620261390875698,0.00010640801082593385,0.0001063131191421017,0.0001062026139125444,0.00010620261390106854,0.39509198569749304,0.06415240228392147,0.5402242830468952
OCR 30. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.603812632557362,5.941085464435554e-05,5.950538940638572e-05,5.946636003747505e-05,5.941085464638515e-05,5.941085463898721e-05,0.603812632557362,0.04069720191814513,0.35519296121111943
OCR 30. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7219048994440257,6.0038641195914774e-05,6.015237034607872e-05,6.010810675487052e-05,6.003864119818813e-05,6.0038641191626605e-05,0.7219048994440257,0.02163685692684652,0.256157867228441
OCR 30. Ausgabe Stadtwächter_001-1.txt,documents-export-2026-02-23 (1),8,0.6015171842666974,0.00013269687479472726,0.00013295675257202785,0.00013278391321450622,0.00013269687480630302,0.00013269687479320206,0.23807276198712526,0.15974622245599662,0.6015171842666974
OCR 31. Ausgabe 1930_001-1.txt,documents-export-2026-02-23 (1),6,0.6566886442681634,5.860311633853295e-05,5.869984701945165e-05,5.866226393325178e-05,5.860311634218371e-05,5.860311633545491e-05,0.6566886442681634,0.018063668526021988,0.3249545157458457
OCR 31. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.8144878286276862,6.0916396681047044e-05,6.103376445706011e-05,6.098212020313239e-05,6.09163966841307e-05,6.091639667659855e-05,0.8144878286276862,6.1029463474335436e-05,0.18514637683413748
OCR 31. Ausgabe Stadtwächter_001-1.txt,documents-export-2026-02-23 (1),8,0.8131809747125275,0.00020391571683071966,0.0002042350904902497,0.00020411898658976704,0.00020391571683961462,0.00020391571681806675,0.0002042321736904457,0.18559469188621378,0.8131809747125275
OCR 32. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.545469333368157,6.018316644092551e-05,6.0283067879769566e-05,6.022728859951775e-05,6.01831664445765e-05,6.0183166436360865e-05,0.545469333368157,0.01502949361028472,0.439200113165757
OCR 32. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7601592474289517,5.332783829646558e-05,5.3417322240211484e-05,5.339177704541134e-05,5.332783829882964e-05,5.332783829363008e-05,0.7601592474289517,5.3427319865147466e-05,0.2395205326370087
OCR 32. Ausgabe Stadtwächter_001-1.txt,documents-export-2026-02-23 (1),8,0.9085754695343816,0.00010766607864175161,0.00010781618681924375,0.0001077970357615975,0.00010766607864594888,0.00010766607863827738,0.00010782231060410794,0.09077809669650751,0.9085754695343816
OCR 33. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5537528211356496,9.412683409411768e-05,9.428706458511716e-05,9.422969478224981e-05,9.41268341030194e-05,9.412683408661195e-05,0.5537528211356496,0.04220038090248417,0.40357590070021493
OCR 33. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7513891449856753,6.603299864104506e-05,6.614498995267795e-05,6.611080270735801e-05,6.603299864465895e-05,6.603299863727272e-05,0.7513891449856753,6.615970281726566e-05,0.2482143405229243
OCR 33. Ausgabe Stadtwächter-1.txt,documents-export-2026-02-23 (1),7,0.9993903656122312,8.704747335156142e-05,8.71292417611337e-05,8.708985127304631e-05,8.70474733555932e-05,8.704747334744517e-05,8.712796394860298e-05,0.9993903656122312,8.714491073143636e-05
OCR 34. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6153614572833214,6.975471827012911e-05,6.98725838096355e-05,6.981481089824007e-05,6.975471827387717e-05,6.9754718264074e-05,0.6153614572833214,0.0559815042001825,0.3283080869669801
OCR 34. Ausgabe Stadtwächter-1.txt,documents-export-2026-02-23 (1),3,0.9932686809259426,0.0009615386326275266,0.0009616743720347128,0.9932686809259426,0.0009615386326339864,0.0009615386326236186,0.0009616597280233413,0.0009616852653136032,0.0009616838108007227
OCR 35. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6837164031418274,0.00011814787509877498,0.00011832412672984025,0.0001182333949932589,0.00011814787510435703,0.00011814787508809677,0.6837164031418274,0.00011833419542500663,0.31557426151573337
OCR 35. Ausgabe Stadtwächter-1.txt,documents-export-2026-02-23 (1),7,0.9995657416648418,6.200405567826518e-05,6.207764965668379e-05,6.203844121700352e-05,6.200405568014069e-05,6.200405567581613e-05,6.206299410839709e-05,0.9995657416648418,6.206708314186045e-05
OCR 36. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6011863188600909,5.726085200349852e-05,0.011536658589141314,5.7314338801039795e-05,5.726085200709317e-05,5.726085199880495e-05,0.6011863188600909,0.020576546603070678,0.3664713790528866
OCR 36. Ausgabe Stadtwächter-1.txt,documents-export-2026-02-23 (1),2,0.9991977251519574,0.00011457386762996698,0.9991977251519574,0.00011461425664557568,0.00011457386763280896,0.00011457386762740059,0.00011463649815855909,0.00011466041692322887,0.00011464207342505188
OCR 37. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5655000265398838,6.0827469574067746e-05,6.093527420285612e-05,6.087567829979134e-05,6.0827469576406105e-05,6.082746956831698e-05,0.5655000265398838,0.0014740066250663927,0.4327216734738284
OCR 38. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6694997201379099,4.811410702280703e-05,4.819972283829353e-05,4.815850063226845e-05,4.8114107025413875e-05,4.811410701908994e-05,0.6694997201379099,4.820081378199352e-05,0.3302113785037703
OCR 39. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6471733933414733,7.720841966979597e-05,7.734843514154353e-05,7.729372477385625e-05,7.720841967249525e-05,7.720841966096093e-05,0.6471733933414733,7.734670866778633e-05,0.3523629925309401
OCR 40. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5496138590218688,6.680943627593127e-05,6.693134710686696e-05,6.686169257795269e-05,6.68094362807688e-05,6.680943627058857e-05,0.5496138590218688,0.03889307028614724,0.411158849343472
OCR 41. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.567446373603401,6.470003316357762e-05,6.482224686796278e-05,6.475644914354023e-05,6.470003316821103e-05,6.470003315835318e-05,0.567446373603401,0.014626153506395085,0.4176037940947024
OCR 42. Ausgbe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5924751421930052,6.443321607133161e-05,6.45450038561072e-05,6.44964101380701e-05,6.443321607529447e-05,6.443321606597578e-05,0.5924751421930052,6.453277567007662e-05,0.4071379839691179
OCR 43. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6950487428348308,7.778497230356663e-05,7.792654913375835e-05,7.786152423284072e-05,7.778497230781582e-05,7.77849722970811e-05,0.6950487428348308,0.047553143729254,0.25700897044564014
