Nr,Datei,Treffer-Wortform,Kontext
51,10. Ausgabe 1931.txt,sozialdemokratischen,"“ beschlagnahmt 
 Auf Antrag des sozialdemokratischen Abgeordneten Küttner , Redakteur des „"
52,10. Ausgabe 1931.txt,Sozialdemokraten,"usw. hingestellt . 
 Nur die Sozialdemokraten und vor allem das Reichsbanner waren"
53,11. Ausgabe 1930.txt,Sozialdemokratie,"Bürgertums ist hier . 
 Kaiserliche Sozialdemokratie 
 Auf unseren Artikel in der"
54,11. Ausgabe 1930.txt,Sozialdemokraten,"sehr den Ärger der 
 kaiserlichen Sozialdemokraten vorstellen darüber , daß Wilhelm II."
55,11. Ausgabe 1930.txt,Sozialdemokraten,"gegenüber als das Bild eines mustergültigen Sozialdemokraten 
 erscheinen . Erblickt er etwa"
56,12. Ausgabe 1930.txt,Sozialdemokraten,"von dem gesamten Rathausverein , also Sozialdemokraten , 
 Zentrum und Bürgerblock genau"
57,12. Ausgabe 1930.txt,Sozialdemokraten,"Stadtsäckel gerissen hat . Zentrum , Sozialdemokraten , Bürgerblock 
 haben es nach"
58,12. Ausgabe 1930.txt,Sozialdemokraten,": Genosse Gewerkschaftssekretär Maas für die Sozialdemokraten , 
 Gewerkschaftssekretär Bredow für das"
59,12. Ausgabe 1930.txt,Sozialdemokratischen,"sich bei dem 
 Programm dieser Sozialdemokratischen Partei gemäß von selbst . Sie"
60,12. Ausgabe 1930.txt,Sozialdemokraten,die Pleite zugleich der Politik der Sozialdemokraten und deren Regierungsfreunde sein : die
61,13. Ausgabe 1930.txt,sozialdemokratische,"aber ein Blatt , wie die sozialdemokratische „ Freie “ Presse hier in"
62,13. Ausgabe 1930.txt,Sozialdemokratischen,"der Bürgerlichen Arbeitsgemeinschaft , der 
 Sozialdemokratischen Fraktion und des Zentrums , kurz"
63,13. Ausgabe 1931-1.txt,Sozialdemokraten,"Beseitigung beanstandeter Stellen ( die den Sozialdemokraten Stücklen 
 betreffen ) wieder aufgehoben"
64,13. Ausgabe 1931-1.txt,Sozialdemokratie,"von 
 seinen Bindungen mit der Sozialdemokratie nicht ab und regierte unter Brüning"
65,13. Ausgabe 1931-1.txt,Sozialdemokratie,"regierte unter Brüning mit der 
 Sozialdemokratie , auch wo diese nicht in"
66,13. Ausgabe 1931-1.txt,Sozialdemokraten,"parlamentarischen Kniffe die bisherige Koalition zwischen Sozialdemokraten und Zentrum 
 aufrechtzuerhalten , um"
67,13. Ausgabe 1931-1.txt,sozialdemokratische,"Herrenfahrer kein anderer als der 
 sozialdemokratische Parteivorsitzende , Parvus-Helphand- und Bacmot-Freund ,"
68,14. Ausgabe 1931-1.txt,Sozialdemokratischen,"Lohmann , früher Mitglied der 
 Sozialdemokratischen Partei , übernahm den Verlag ."
69,14. Ausgabe 1931-1.txt,Sozialdemokrat,"Hamede , der ursprünglich auch 
 Sozialdemokrat war oder doch der Sozialdemokratischen Partei"
70,14. Ausgabe 1931-1.txt,Sozialdemokratischen,"
 Sozialdemokrat war oder doch der Sozialdemokratischen Partei sehr nahe stand , blieb"
71,14. Ausgabe 1931-1.txt,Sozialdemokraten,". In Braunschweig hatten 
 die Sozialdemokraten verboten , Religion in den Schulen"
72,15. Ausgabe 1930-2.txt,Sozialdemokratie,"geschlossen die Vertreter der Wirtschaftspartei und Sozialdemokratie . Unverständlich und mit 
 ihrer"
73,16. Ausgabe 1929 OCR korrekt.txt,sozialdemokratischen,"nicht ganz stimmen ! Der 
 sozialdemokratischen Mitglieder dieser Regierung so muß es"
74,16. Ausgabe 1929 OCR korrekt.txt,Sozialdemokraten,"vor den Wahlen 
 durch die Sozialdemokraten locken lassen und empfängt jetzt die"
75,16. Ausgabe 1929 OCR korrekt.txt,Sozialdemokrat,"jüdischen Gönners Hilferding , der 
 Sozialdemokrat und frühere Reichsminister und jetzige Präsident"
76,16. Ausgabe 1929 OCR korrekt.txt,Sozialdemokraten,"verlangte . Der Sprecher der 
 Sozialdemokraten , der dicke Herz , hatte"
77,16. Ausgabe 1930-1.txt,Sozialdemokraten,"und zwar von dem kommunistisch angehauchten Sozialdemokraten und Atheisten 
 Hans Wunderlich ,"
78,16. Ausgabe OCR korrekt.txt,sozialdemokratischen,"nicht ganz stimmen ! Der 
 sozialdemokratischen Mitglieder dieser Regierung so muß es"
79,16. Ausgabe OCR korrekt.txt,Sozialdemokraten,"vor den Wahlen 
 durch die Sozialdemokraten locken lassen und empfängt jetzt die"
80,16. Ausgabe OCR korrekt.txt,Sozialdemokrat,"jüdischen Gönners Hilferding , der 
 Sozialdemokrat und frühere Reichsminister und jetzige Präsident"
81,16. Ausgabe OCR korrekt.txt,Sozialdemokraten,"verlangte . Der Sprecher der 
 Sozialdemokraten , der dicke Herz , hatte"
82,17. Ausgabe 1930.txt,Sozialdemokratie,"wilde Ehe , welche 
 die Sozialdemokratie mit dem Lieblingssprößling der Bürgerlichen Arbeitsgemeinschaft"
83,17. Ausgabe 1930.txt,Sozialdemokratie,"Gunstbezeugungen . 
 War nicht die Sozialdemokratie bereit , ihren eigenen Grundsätzen ins"
84,17. Ausgabe 1930.txt,sozialdemokratischen,"des Regierungs-Senators und des 
 andern sozialdemokratischen Vertreters erfolgt . Unendliche Selbstverleugnung ,"
85,17. Ausgabe 1930.txt,sozialdemokratischen,"Magistrat , dem auch die beiden sozialdemokratischen Senatoren angehören . Was tut man"
86,17. Ausgabe 1930.txt,Sozialdemokratie,"und denken nicht daran , die Sozialdemokratie von der Seite ihrer 
 geliebten"
87,17. Ausgabe 1931-1.txt,Sozialdemokraten,"“ 
 die geistige Munition der Sozialdemokraten und des Reichsbanners ( Hörsing am"
88,17. Ausgabe 1931-1.txt,sozialdemokratischen,". Rätselhaft ist der Eifer der sozialdemokratischen 
 Presse , mit dem sie"
89,17. Ausgabe 1931-1.txt,sozialdemokratischen,"„ Fridericus “ , den die sozialdemokratischen Bonzen mit Andacht zu lesen pflegen"
90,17. Ausgabe 1931-1.txt,sozialdemokratische,"Mann regte sich zwar nicht die sozialdemokratische 
 Presse , sondern Manns Verlag"
91,17. Ausgabe 1931-1.txt,Sozialdemokraten,"auch ein Mann , der den Sozialdemokraten ziemlich 
 nahesteht , nämlich der"
92,18. Ausgabe 1930-1.txt,sozialdemokratischen,"Preuß erging durch den damaligen 
 sozialdemokratischen Reichspräsidenten Ebert . Nach dessen Meinung"
93,18. Ausgabe 1930-1.txt,Sozialdemokratischen,"Stampfer als Hauptschriftleiter des Zentralorgans der Sozialdemokratischen Partei , des 
 „ Vorwärts"
94,18. Ausgabe 1930-1.txt,Sozialdemokratie,"
 führende Köpfe im Lager der Sozialdemokratie . Da fehlen auch die Namen"
95,18. Ausgabe 1930-1.txt,Sozialdemokratisches,"hier in Osnabrück bezeichnen ? 

 Sozialdemokratisches Unterbewusstsein 
 Es war der inzwischen"
96,18. Ausgabe 1930-1.txt,Sozialdemokratie,"Herr Grzesinski von der 
 internationalen Sozialdemokratie , der sich darüber ärgerte ,"
97,18. Ausgabe 1931.txt,Sozialdemokraten,"nicht zu retten . 
 Die Sozialdemokraten , diese Tausendsassas der Wirtschaft ,"
98,18. Ausgabe 1931.txt,Sozialdemokratie,"Erfolge des Zentrums und der 
 Sozialdemokratie haben wir täglich vor Augen ."
99,18. Ausgabe 1931.txt,Sozialdemokratie,"wir täglich vor Augen . Die Sozialdemokratie weiß schon , wie sie mit"
100,18. Ausgabe 1931.txt,Sozialdemokratie,"das Zentrum mit der 
 roten Sozialdemokratie ; mit dieser gott- und glaubenslosen"
101,18. Ausgabe 1931.txt,Sozialdemokratie,"Zentrum und die rote glaubenslose 
 Sozialdemokratie Arm in Arm zusammen . Muss"
102,20. Ausgabe 1931-1.txt,sozialdemokratische,"nicht 
 leichtsinnig . 
 Der sozialdemokratische Berliner Polizeipräsident Grzesinski hat einige Berliner"
103,21. Ausgabe 1930.txt,Sozialdemokratie,"die „ bürgerlich “ gewordene 
 Sozialdemokratie die Äußerlichkeiten einer satten Bourgeoisie sich"
104,21. Ausgabe 1930.txt,Sozialdemokraten,"und sonstiger Kunstbeflissener zieren führende 
 Sozialdemokraten , und man weiß , wie"
105,21. Ausgabe 1931-1.txt,Sozialdemokratie,"den Anschein , als wolle die Sozialdemokratie dem Kabinett Brüning keine 
 Schwierigkeiten"
